MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
74LS123N,I1_1_1,36,https://www.ti.com/lit/ds/symlink/sn54ls123.pdf?ts=1751259551676&ref_url=https%253A%252F%252Fwww.mouser.in%252F
SN74LS221,I1_1_1,21,https://www.ti.com/lit/ds/symlink/sn54221.pdf?ts=1751259582957&ref_url=https%253A%252F%252Fwww.google.com%252F
TC4429 ,I1_1_1,10,https://ww1.microchip.com/downloads/en/DeviceDoc/21419D.pdf
TC7662A,I1_1_1,14,https://ww1.microchip.com/downloads/en/devicedoc/21468b.pdf
DM74163N,I1_1_2,2,https://www.jameco.com/Jameco/Products/ProdDS/49672.pdf
SN74HC164N,I1_1_2,1,https://www.ti.com/lit/ds/symlink/sn74hc164.pdf?ts=1751259725822&ref_url=https%253A%252F%252Fwww.google.com%252F
IC HV9123P (16 PIN),I1_1_2,10,https://www.microchip.com/content/dam/mchp/documents/OTH/ProductDocuments/DataSheets/HV9123%20C031314.pdf
DM74LS139N,I1_1_2,2,https://www.farnell.com/datasheets/303995.pdf
MC14044,I1_1_2,10,https://www.onsemi.com/pdf/datasheet/mc14043b-d.pdf
NE555,I1_1_2,11,https://www.ti.com/lit/ds/symlink/ne555.pdf
TLC555,I1_1_2,10,https://www.ti.com/lit/ds/symlink/tlc555.pdf
HEF4093=CD4093BE,I1_1_3,20,https://www.ti.com/lit/ds/symlink/cd4093b.pdf?ts=1751202320295&ref_url=https%253A%252F%252Fwww.google.com%252F
SN7407,I1_1_3,1,https://www.ti.com/lit/ds/symlink/sn7407.pdf?ts=1751185655693&ref_url=https%253A%252F%252Fwww.google.com%252F
NE555,I1_1_3,10,https://www.ti.com/lit/ds/symlink/ne555.pdf
IR2121,I1_1_3,19,https://www.infineon.com/dgdl/Infineon-IR2121-DS-v01_00-EN.pdf?fileId=5546d462533600a4015355c84fa31691
TL594CN,I1_1_4,19,https://www.ti.com/lit/ds/symlink/tl594.pdf?ts=1751199974627&ref_url=https%253A%252F%252Fwww.google.com%252F
TOP223,I1_1_4,9,https://www.power.com/sites/default/files/documents/top221-227.pdf
SN7410N = DM74LS10N1 = HD 74S10P,I1_1_4,15,https://www.ti.com/lit/ds/symlink/sn7414.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1751260001980&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn7414
M74HC74N,I1_1_5,34,https://www.mouser.com/datasheet/2/389/stmicroelectronics_cd00000347-1204269.pdf?srsltid=AfmBOoqmyKampFCNdmj96F3A0vzw2daeGesH-O_Y461qeJIrKWJgItvq
6N137,I1_1_5,10,https://www.vishay.com/docs/84732/6n137.pdf
74LS155,I1_1_6,13,https://www.ti.com/lit/ds/symlink/sn54ls155a.pdf?ts=1751260100216&ref_url=https%253A%252F%252Fwww.google.com%252F
MC14011B,I1_1_6,2,https://www.onsemi.com/download/data-sheet/pdf/mc14001b-d.pdf
M74HCT86,I1_1_7,51,https://www.mantech.co.za/datasheets/products/M74HCT86_ST.pdf?srsltid=AfmBOopgBMw6rcTIHMl-L_jmw6nz9d0rQdvtH8cmm-ER8qCRQCLAsCmi
TD62504P,I1_2_1,5,https://www.futurlec.com/Datasheet/Linear/TD62503P.pdf
IE20034,I1_2_1,3,https://www.jotrin.com/product/parts/IE20034?srsltid=AfmBOopiQ-5eueE1lAmyYYsDPLeJ8ec2MmfGcbIrZ_EzCU2knvlXp2tH
UC3847,I1_2_1,20,https://www.ti.com/lit/ds/symlink/uc2846.pdf?ts=1751260255816&ref_url=https%253A%252F%252Fwww.google.com%252F
LNK362PN,I1_2_1,20,https://www.mouser.com/datasheet/2/328/lnk362-364-1511784.pdf?srsltid=AfmBOopdHwIktIbUGc_go322eXxLWxaTGTHNKO3GgtVkPjp0gcEiJs_0
LNK364,I1_2_1,7,https://www.mouser.com/datasheet/2/328/lnk362-364-1511784.pdf?srsltid=AfmBOopdHwIktIbUGc_go322eXxLWxaTGTHNKO3GgtVkPjp0gcEiJs_0
TLC274BCN,I1_2_2,4,https://www.ti.com/lit/ds/symlink/tlc279.pdf?ts=1751234291037&ref_url=https%253A%252F%252Fwww.google.fr%252F
LF398,I1_2_2,22,https://www.ti.com/lit/ds/symlink/lf398-n.pdf
DBL494 = TL494,I1_2_3,16,https://www.ti.com/lit/ds/symlink/tl494.pdf?ts=1751203766606&ref_url=https%253A%252F%252Fwww.google.com%252F
TLC0820CN,I1_2_3,19,https://www.ti.com/lit/ds/symlink/tlc0820a.pdf?ts=1751260391519&ref_url=https%253A%252F%252Fwww.google.com%252F
HCF4094 = CD4094,I1_2_4,28,https://www.st.com/resource/en/datasheet/hcf4094.pdf
SFH6345 (6 PIN),I1_2_4,10,https://www.vishay.com/docs/83680/sfh6345.pdf
HCF4073B = MC14073BCP,I1_2_5,68,https://www.alldatasheet.com/datasheet-pdf/pdf/90061/MOTOROLA/MC14073BCP.html
MC14076B,I1_2_5,2,https://www.onsemi.com/pdf/datasheet/mc14076b-d.pdf
MC14013BCP,I1_2_5,1,https://www.onsemi.com/pdf/datasheet/mc14013b-d.pdf
M324SN,I1_2_5,1,https://www.alldatasheet.com/view.jsp?Searchword=M324&sField=3
HCF4073,I1_2_6,3,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/HCF4073B.pdf
LM239,I1_2_6,10,https://www.st.com/resource/en/datasheet/lm139.pdf
GAL16V8A,I1_2_6,1,https://www.jameco.com/Jameco/Products/ProdDS/876619.pdf?srsltid=AfmBOoosAoYqKtSUz3kPldaiyVTmm3fhGGpolLWCA8BmAPg5KPYlyuAD
7416,I1_2_7,1,https://www.ti.com/lit/ds/symlink/sn7416.pdf?ts=1751260602904&ref_url=https%253A%252F%252Fwww.google.com%252F
SN74167N,I1_2_7,1,https://www.ti.com/lit/ds/symlink/sn7416.pdf?ts=1751260602904&ref_url=https%253A%252F%252Fwww.google.com%252F
HEF4001BP/CD4001,I1_2_7,34,https://assets.nexperia.com/documents/data-sheet/HEF4001B.pdf
74LS04,I1_2_7,8,https://www.ti.com/lit/ds/symlink/sn74ls04.pdf?ts=1751220840306&ref_url=https%253A%252F%252Fwww.google.com%252F
LM139,I1_3_1,8,https://www.st.com/resource/en/datasheet/lm139.pdf
ULN 2803,I1_3_1,3,https://www.ti.com/lit/ds/symlink/uln2803c.pdf?ts=1751260691476&ref_url=https%253A%252F%252Fwww.google.com%252F
MC3487,I1_3_1,12,https://www.ti.com/lit/ds/symlink/mc3487.pdf
