,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,470?F/250V ,BOX 1,3,https://ampere-electronics.com/product/electrolytic-capacitor-470uf-250v/,
,180?F/450V ,BOX 1,15,https://www.partsearch.io/nichicon/LGG2W181MELA30,
,6800?F/50V ,BOX 1,5,https://www.it-tronics.de/en/snap-in-electrolytic-capacitor-radial-6800-f-50v-1050c-kmh50vb682m35x30-d35x30mm-6800uf/,
,6800?F/50V ,BOX 1,10,https://www.it-tronics.de/en/snap-in-electrolytic-capacitor-radial-6800-f-50v-1050c-kmh50vb682m35x30-d35x30mm-6800uf/,
,330?F/250V ,BOX 1,12,https://twen.rs-online.com/web/p/aluminium-capacitors/4961612?srsltid=AfmBOopW5k3iF_XgnUsCFr2vu-U-Aqt3JWf1_xqboR_6XvWN7Hv87PVL,
,220?F/420V ,BOX 1,20,https://www.mouser.in/datasheet/2/293/e_lgu-3420130.pdf,
,470?F/250V ,BOX 1,10,https://ampere-electronics.com/product/electrolytic-capacitor-470uf-250v/,
,180?F/400V ,BOX 1,14,https://www.it-tronics.de/en/snap-in-electrolytic-capacitor-radial-180-f-400v-1050c-kmh400vn18130x30t2-d30x30mm-180uf/,
,5600?F/80V ,BOX 1,9,https://twen.rs-online.com/web/p/aluminium-capacitors/7714771?srsltid=AfmBOopIsJgLx_tFo8Bs0qHSHuJf6G8CaYQkQsu9NVc1wiboWGZsiX30,
,330?F/450V ,BOX 1,9,http://twen.rs-online.com/web/p/aluminium-capacitors/2098676?srsltid=AfmBOorM1lY3YCr8DxdkBoM0JjFWjePHd1MrUL_wgCw8g1URxDvpujmN,
,5600?F/63V ,BOX 1,15,https://www.digikey.in/en/products/detail/epcos-tdk-electronics/B41605D8568M2/10716647,
,470?F/450V ,BOX 1,60,"https://www.micros.com.pl/en/product/ke-47045030x50lt,208904.html",
,10000?F/63V ,BOX 1,4,https://www.rs-online.vn/p/capacitor-lytic-series-256-10000uf-63v/,
,10000?F/63V ,BOX 1,10,https://www.rs-online.vn/p/capacitor-lytic-series-256-10000uf-63v/,
,4700?F/80V ,BOX 1,10,https://www.vishay.com/docs/28410/256pmg-si.pdf,
,220?F/400V ,BOX 1,24,https://www.vishay.com/docs/28341/159pulsi.pdf,
,8200?F/63V ,BOX 1,15,https://twen.rs-online.com/web/p/aluminium-capacitors/8714280?srsltid=AfmBOor8MR35sO_3uIuySKnp08rhnY69FnxUxTj3oEEfMiGxv8yWJd7j,
,4700?F/80V ,BOX 1,5,https://www.vishay.com/docs/28410/256pmg-si.pdf,
,330?F/450V ,BOX 1,11,https://www.rs-online.vn/p/capacitor-snap-in-series-ls-330uf-450v/,
,330?F/450V ,BOX 1,7,https://www.rs-online.vn/p/capacitor-snap-in-series-ls-330uf-450v/,
,6800?F/50V ,BOX 1,21,https://www.electroncomponents.com/6800uf-50v-radial-electrolytic-capacitor?srsltid=AfmBOoriZiOcBGymCcNewN8xPJhWWWmzRcaP_0v7fOclfDnnSlbh3TMibb0,
,6800?F/63V ,BOX 1,9,https://docs.rs-online.com/fc68/0900766b813d38c1.pdf,
,6800?F/63V ,BOX 1,5,https://docs.rs-online.com/fc68/0900766b813d38c1.pdf,
,1000?F/250V ,BOX 1,7,https://sharvielectronics.com/product/1000uf-250v-electrolytic-capacitor-105%E2%84%83-30x40mm-junzl/?srsltid=AfmBOophFbvcufDEy4HX-BXEKmAPgJBaXF4CIyTArEJneYf4jsRFNOO_,
,470nF PHE 450 1000(BLUE),BOX 1,20,https://content.kemet.com/datasheets/KEM_F3033_PHE450.pdf,
,SCR SK45 WT08 ,BOX 2,5,BEARING HEATER,
,1000?F/35V ,BOX 2,20,https://www.sunrom.com/download/876.pdf,
,470?F/100V ,BOX 2,50,https://diyaudiocart.com/product/nichicon-capacitor-aluminum-470uf-20-100v-radial/,
,330?F/50V ,BOX 2,100,https://www.electronifyindia.com/products/330%C2%B5f-50v-smd-electrolytic-capacitor?srsltid=AfmBOooMTQjRxLhyuuiz-vKwl7ZM05us-oD9BW-pbR1qM9CgrkRCspP-,
,2200?F/63V ,BOX 2,20,https://www.vishay.com/docs/28346/051053pe.pdf,
,470?F/220V ,BOX 2,10,,
,330?F/250V ,BOX 2,16,https://twen.rs-online.com/web/p/aluminium-capacitors/4961612?srsltid=AfmBOoqn8WcT93KSeUIa9MmQfYNgb06vAZAlCGdh8lJURP4EWlLLi93K,
,5600?F/80V ,BOX 2,10,https://twen.rs-online.com/web/p/aluminium-capacitors/7714771?srsltid=AfmBOoq6l_y8lrQECSINB4pwUvkjmMtdY5wH-VL5Nn7KqFd6nFpJDEww,
,330?F/450V ,BOX 2,10,https://www.rs-online.vn/p/capacitor-snap-in-series-ls-330uf-450v/,
,5600?F/80V ,BOX 2,10,https://twen.rs-online.com/web/p/aluminium-capacitors/7714771?srsltid=AfmBOoq6l_y8lrQECSINB4pwUvkjmMtdY5wH-VL5Nn7KqFd6nFpJDEww,
,470?F/250V ,BOX 2,10,https://ampere-electronics.com/product/electrolytic-capacitor-470uf-250v/,
,CAP 0.82µF/250V,BOX 2,50,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,
,330?F/200V ,BOX 2,25,https://www.farnell.com/datasheets/2321299.pdf,
,220?F/400V ,BOX 2,25,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*c8dp2k*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,100?F/450V ,BOX 2,14,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*c8dp2k*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,680?F/200V ,BOX 2,25,https://docs.rs-online.com/3fbe/A700000008615655.pdf,
,100?F/450V ,BOX 2,25,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*1xezrlx*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,4700?F/25V ,BOX 2,50,https://evelta.com/4700uf-25v-electrolytic-capacitor/?srsltid=AfmBOopl2yj15F57URM0FJ86rQ6jNbeaQ2W5kRenbXVIEIrPDDS_NR7i,
,330?F/200V ,BOX 2,6,https://www.farnell.com/datasheets/2321299.pdf,
