,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET_LINK,
,,,,,
,1000?F/35V,C1_1_1,53,https://www.sunrom.com/download/876.pdf,
,39?F/50V,C1_1_1,0,https://my.rs-online.com/web/p/aluminium-capacitors/1073578?srsltid=AfmBOoq0jqNQMLVwY_1UWVqohynBsY3gnGl8PfON1SST3MZnL0gxI431,
,10?F/25V,C1_1_1,144,https://www.farnell.com/datasheets/1558295.pdf,
,4.7?F/35V,C1_1_1,100,https://www.farnell.com/datasheets/2875044.pdf,
,10?F/35V,C1_1_1,34,https://www.farnell.com/datasheets/1558295.pdf,
,100µF/35V,C1_2_1,90,https://www.farnell.com/datasheets/1558295.pdf,
,220?F/63V,C1_2_2,26,https://www.farnell.com/datasheets/1558295.pdf,
,33?F/250V,C1_2_2,40,https://www.farnell.com/datasheets/1796627.pdf,
,22µF/250V,C1_2_2,12,https://www.elektronik.ropla.eu/en/magazyn/magazyn/?ic=JAM2468,
,330µF/63V,C1_2_2,14,https://www.vishay.com/docs/28318/048rml.pdf,
,100?F/50V,C1_2_2,100,https://www.ktron.in/product/50v-100uf-electrolytic-capacitor/?srsltid=AfmBOormQqHd1wz0hjv9o20RjlQk34PL9F9AiQ8Ltt1q4wU-3ueJqK5Q&v=c86ee0d9d7ed,
,1000µF/16V,C1_3_1,2,https://www.farnell.com/datasheets/1558295.pdf,
,100µF/35V,C1_3_1,101,https://www.farnell.com/datasheets/1558295.pdf,
,100µF/25V,C1_3_1,55,https://www.farnell.com/datasheets/1558295.pdf,
,1500µF/35V,C1_3_2,29,https://www.farnell.com/datasheets/1770552.pdf,
,47?F/63V,C1_4_1,14,https://www.sunrom.com/p/47uf-63v-63mm-samwha,
,22?F/450V,C1_4_1,38,https://www.sunrom.com/p/22uf-450v-125mm-samwha,
,47?F/250V,C1_4_1,12,https://www.mouser.in/datasheet/2/440/wima_mkm_4-1211803.pdf,
,47?F/100V,C1_4_2,16,https://www.melopero.com/datasheets/47uF.pdf,
,220µF/50V,C1_4_2,20,https://www.sunrom.com/p/220uf-50v-10mm-samwha,
,4700µF/25V,C1_4_2,9,https://www.vishay.com/docs/28325/021asm.pdf,
,10µF/250V,C1_5_1,120,https://www.sunrom.com/p/10uf-250v-10mm-samwha,
,330µF/35V,C1_5_2,1,https://www.farnell.com/datasheets/3916906.pdf,
