,MATERIAL_DESCRIPTION,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,DF10S ,BOX-1 ,5,https://www.onsemi.com/download/data-sheet/pdf/df10s-d.pdf,
,Z5W,BOX-1 ,18,"https://en.eeworld.com.cn/datasheet/so,z5w.html",
,1P,BOX-1 ,10,https://www.electricallearner.in/wp-content/uploads/2022/08/PMBT2222A-1P-SMD-transistor-datasheet.pdf,
,JTW,BOX-1 ,24,https://pdf.datasheet.live/f6955f1d/rcdcomponents.com/PRM1/4B-1R1-JTW.pdf,
,Z3P,BOX-1 ,6,https://www.mouser.in/datasheet/2/18/Amphenol_01222019_C10-730513-Z3P-1524989.pdf,
,1B,BOX-1 ,17,https://fscdn.rohm.com/en/products/databook/datasheet-nrnd/discrete/diode/zener/tfzgtr9.1b-e.pdf,
,JTP,BOX-1 ,15,https://cdn-reichelt.de/documents/datenblatt/C200/JTP-1138.pdf,
,Z3W,BOX-1 ,99,https://www.farnell.com/datasheets/320149.pdf,
,Z3,BOX-1 ,10,…,
,Z7 ,BOX-2,63,…,
,6C,BOX-2,95,https://www.mouser.com/datasheet/2/143/PT334-6Cnew_datasheet-41749.pdf?srsltid=AfmBOooXfgd7qDbpPlLXcr6VvFk7odl0ur9rSUwHK56Sznjinh8CHm69,
,Z9,BOX-2,19,….,
,5C,BOX-2,7,https://docs.rs-online.com/9602/0900766b8119c5a1.pdf,
,5CW,BOX-2,92,,
,2F,BOX-2,8,,
,J45H11G,BOX-2,2,https://www.onsemi.com/download/data-sheet/pdf/mjd44h11-d.pdf,
,FBC40S ,BOX-3,20,https://www.vishay.com/docs/91116/sihfbc40.pdf,
,WY12=Y12,BOX-3,45,,
,Z1,BOX-3,10,,
,A1=BAW56,BOX-3,13,https://www.onsemi.com/download/data-sheet/pdf/baw56lt1-d.pdf,
,FR9014,BOX-3,8,https://www.vishay.com/docs/91277/sihfr901.pdf,
,RECT.DF105,BOX-3,29,https://www.alldatasheet.com/view_datasheet.jsp?Searchword=DF105,
,W1P37 ,BOX-4,51,https://www.alldatasheet.com/category/index.jsp?sSearchword=SMD%20W1P%20NPN%20TRANSISTOR,
,J133,BOX-4,4,https://www.vbsemi.com/Package/TO252/J133-Z-T1-VB.pdf,
,FR9120N,BOX-4,23,https://www.infineon.com/dgdl/irfr9120npbf.pdf?fileId=5546d462533600a40153563607932138,
,FR9014,BOX-4,20,https://www.vishay.com/docs/91277/sihfr901.pdf,
,Y6,BOX-4,2,,
,1A(NPN) ,BOX-5,14,https://assets.nexperia.com/documents/data-sheet/PBSS4160PANP-Q.pdf,
,FZT749,BOX-5,9,https://www.mouser.com/datasheet/2/115/DIOD_S_A0001069536_1-2542007.pdf?srsltid=AfmBOopKRfhBA4HRRHqRll4mZLxzTAaw2_Jtscb6UHYEoWpsbTQrOeTa,
,A7W,BOX-5,4,https://www.tme.eu/Document/dd141a03230e862a0cf91279fc7d71fb/BAV99.PDF,
,IR2104,BOX-5,25,https://docs.rs-online.com/410f/0900766b80025ef9.pdf,
,A7W,BOX-5,10,https://www.tme.eu/Document/dd141a03230e862a0cf91279fc7d71fb/BAV99.PDF,
,M7,BOX-5,10,https://www.kingtronics.com/pdf/m7-diode.pdf,
,5B ,BOX-6,3,http://www.stcomponent.com/datasheets/BC807-[V1.0].pdf,
,Z7,BOX-6,4,https://www.farnell.com/datasheets/3166177.pdf,
,OP282,BOX-6,5,https://www.analog.com/media/en/technical-documentation/data-sheets/op282_482.pdf,
,CY62256,BOX-6,10,https://www.infineon.com/dgdl/Infineon-CY62256N_256-Kbit_(32_K_8)_Static_RAM-DataSheet-v11_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ebee07732ce,
,HCT08,BOX-6,1,https://www.ti.com/lit/ds/symlink/sn74hct08.pdf?ts=1751188834929&ref_url=https%253A%252F%252Fwww.google.com%252F,
,BCP55 ,BOX-7,32,https://docs.rs-online.com/7296/0900766b80466693.pdf,
,J1/SS,BOX-7,4,….,
,AD8602,BOX-7,10,https://www.analog.com/media/en/technical-documentation/data-sheets/ad8601_8602_8604.pdf,
,3844,BOX-7,1,https://www.onsemi.com/pdf/datasheet/uc3844-d.pdf,
,TRANS.K431,BOX-7,10,https://www.onsemi.com/pdf/datasheet/ka431-d.pdf,
,J417=QN6717=2SJ417 ,BOX-8,4,https://dfsimg1.hqewimg.com/group5/M00/19/33/wKhk3WanU7-APyd2AALQTsTNexs823.pdf,
,FR024N,BOX-8,20,https://www.infineon.com/dgdl/irfr024npbf.pdf?fileId=5546d462533600a40153562cf721203c,
,5CS,BOX-8,5,http://www.stcomponent.com/datasheets/BC807-[V1.0].pdf,
,HEF4020,BOX-8,16,https://assets.nexperia.com/documents/data-sheet/HEF4020B.pdf,
,5A = 572  ,BOX-9,13,https://www.analog.com/media/en/technical-documentation/data-sheets/adcmp572_573.pdf,
,LM2575S,BOX-9,25,https://www.ti.com/lit/ds/symlink/lm2575-n.pdf,
,12F510J,BOX-9,20,https://ww1.microchip.com/downloads/en/DeviceDoc/41268D.pdf,
,DS1232,BOX-9,12,https://www.analog.com/media/en/technical-documentation/data-sheets/ds1232.pdf,
,DIODE SB34 ,BOX-10,5,https://www.vishay.com/docs/88719/sb320.pdf,
,IN4007,BOX-10,8,https://www.vishay.com/docs/88503/1n4001.pdf,
,DIODE4148,BOX-10,16,https://www.vishay.com/docs/81857/1n4148.pdf,
,FAN7602,BOX-10,1,https://www.application-datasheet.com/pdf/on-semiconductor/fan7602n.pdf,
,74HC32,BOX-10,19,https://www.mouser.com/ds/2/308/74HC32.REV1-102593.pdf?srsltid=AfmBOoq-VYJje2qN_q52Acpn64tNOuD81pp0C0e_t7xWDY2SKfLmIXau,
,HC32(14 PIN),BOX-10,20,https://www.ti.com/lit/ds/symlink/sn54hc32-sp.pdf,
,74KC373,BOX-10,4,https://assets.nexperia.com/documents/data-sheet/74HC73.pdf,
,74HC251,BOX-10,3,https://assets.nexperia.com/documents/data-sheet/74HC_HCT251.pdf,
,MAX3491 (14 PIN),BOX-10,10,https://www.analog.com/media/cn/technical-documentation/data-sheets/1079.pdf,
,74HC7541,BOX-10,7,https://www.datasheetbank.com/en/pdf-view/74HC7541-Philips,
,TLP181,BOX-10,35,https://www.mouser.com/datasheet/2/408/TLP181_datasheet_en_20190617-708235.pdf?srsltid=AfmBOop69dj2GhW3zH0pdlRE7Vzo_5hVhmKpFCjvqRlcgDaQW1nQq-7v,
,T4/E3/S3  ,BOX-11,5,https://www.st.com/resource/en/datasheet/t405.pdf,
,14050/4050,BOX-11,50,https://www.bg-electronics.de/datenblaetter/Schaltkreise/MC14050B.pdf,
,4981BD (20 PIN),BOX-11,10,https://www.st.com/resource/en/datasheet/l4981.pdf,
,FST3345 ,BOX-11,20,https://www.mouser.com/ds/2/308/fst3345-1192423.pdf?srsltid=AfmBOoruaam5wfbkvT5Bv0Nb1rJ93twXdqd0PTf9MnClULLyDxL5CslB,
,BYG20J,BOX-11,10,https://www.vishay.com/docs/88958/byg20d.pdf,
,ULN2003,BOX-11,10,https://www.st.com/resource/en/datasheet/uln2001.pdf,
,LM431,BOX-11,10,https://www.ti.com/lit/ds/symlink/lm431.pdf?ts=1751273632021&ref_url=https%253A%252F%252Fwww.google.com%252F,
,SP232EEN = MAX232,BOX-11,20,https://www.ti.com/lit/ds/symlink/max232.pdf?ts=1751255746349&ref_url=https%253A%252F%252Fwww.google.com%252F,
,Z1,BOX-11,10,….,
,4093,BOX-12,70,https://www.ti.com/lit/ds/symlink/cd4093b.pdf?ts=1751202320295&ref_url=https%253A%252F%252Fwww.google.com%252F,
,74HC74,BOX-12,23,https://www.ti.com/lit/ds/symlink/sn74hc74.pdf,
,ATMLH012,BOX-12,2,….,
,D213E2,BOX-12,29,https://www.vishay.com/docs/83647/ild205t.pdf,
,393,BOX-12,17,https://www.ti.com/lit/ds/symlink/lm393.pdf,
,ULN2003,BOX-12,14,https://www.st.com/resource/en/datasheet/uln2001.pdf,
,74HC573  ,BOX-13,8,https://assets.nexperia.com/documents/data-sheet/74HC_HCT573.pdf,
,UC2842(14PIN),BOX-13,3,https://tvsat.com.pl/PDF/U/uc3843_st.pdf,
,TL084,BOX-13,50,https://www.st.com/resource/en/datasheet/cd00000493.pdf,
,74HC4053,BOX-13,32,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4053.pdf,
,1778,BOX-13,10,https://www.analog.com/media/en/technical-documentation/data-sheets/1778fb.pdf,
,3842,BOX-13,9,https://www.ti.com/lit/ds/symlink/uc3842.pdf,
,841,BOX-13,1,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8495-8-bit-AVR-Microcontrollers-ATtiny441-ATtiny841_Datasheet.pdf,
,MAX3469,BOX-13,2,https://www.analog.com/media/en/technical-documentation/data-sheets/max3465-max3469.pdf,
,TL082,BOX-13,30,https://www.ti.com/lit/ds/symlink/tl082-n.pdf,
,UC2842( 16 PIN)  ,BOX-14,5,https://www.ti.com/lit/ds/symlink/uc2842.pdf?ts=1751274218453&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FUC2842,
,OZ9938,BOX-14,12,https://mediatronik.net/wp/wp-content/uploads/oz9938.pdf,
,LM317,BOX-14,77,https://www.ti.com/lit/ds/symlink/lm317.pdf,
,OP27,BOX-14,12,https://www.analog.com/media/en/technical-documentation/data-sheets/op27.pdf,
,HC32,BOX-14,30,https://www.ti.com/lit/ds/symlink/sn54hc32-sp.pdf,
,UC2842(8PIN),BOX-14,29,https://www.ti.com/lit/ds/symlink/uc2845aq.pdf?ts=1751260925607,
,LM358 ,BOX-15,13,https://www.ti.com/lit/ds/symlink/lm358.pdf,
,2202,BOX-15,12,https://www.mouser.com/datasheet/2/678/avgo_s_a0002854344_1-2291190.pdf?srsltid=AfmBOoqjhANMIdvduHIPHHC657OkRysSh1Hx79xnW7tbAX6PxWkixdoG,
,4011,BOX-15,19,https://www.ti.com/lit/ds/symlink/cd4011b.pdf?ts=1751262155923&ref_url=https%253A%252F%252Fwww.google.com%252F,
,4066,BOX-15,14,https://www.ti.com/lit/ds/symlink/cd4066b.pdf,
,14011,BOX-15,2,https://www.onsemi.com/download/data-sheet/pdf/mc14001b-d.pdf,
,HC125,BOX-15,10,https://www.ti.com/lit/ds/symlink/sn74hc125.pdf,
,14053,BOX-15,10,https://www.onsemi.com/download/data-sheet/pdf/mc14051b-d.pdf,
,ADM2486 ,BOX-16,26,https://www.analog.com/media/en/technical-documentation/data-sheets/adm2486.pdf,
,FZT749,BOX-16,33,https://www.onsemi.com/download/data-sheet/pdf/fzt749-d.pdf,
,FAN7602,BOX-16,18,https://www.application-datasheet.com/pdf/on-semiconductor/fan7602n.pdf,
,11C9ZS,BOX-16,1,https://bg-electronics.de/datenblaetter/Schaltkreise/11C90.pdf,
,HP3D6,BOX-16,2,https://www.onsemi.com/download/data-sheet/pdf/ncp1203-d.pdf,
,UC2825 ,BOX-17,14,https://www.ti.com/lit/ds/symlink/uc2825a-ep.pdf?ts=1751274822165&ref_url=https%253A%252F%252Fwww.google.com%252F,
,LF351,BOX-17,13,https://www.st.com/resource/en/datasheet/lf351.pdf,
,1634B1,BOX-17,5,https://www.analog.com/media/en/technical-documentation/data-sheets/1634ff.pdf,
